pincode,LAT ,Long
141006,30.8589167,75.8616389
141007,30.98,75.95
141008,30.98,75.79
141010,30.9023056,75.9041944
141011,30.9026,75.8377
141012,30.8803889,75.7908333
141013,30.8727333,75.8154138
141014,30.8695972,75.882925
141015,30.96,75.92
141016,30.848,75.8905
141101,52.991413,14.485151
141102,30.897481,75.697895
141103,30.8020472,75.6881388
141104,31.989502,75.045052
141105,30.775309,75.686262
141106,30.7642861,75.6514138
141107,37.797042,122.43479
141108,31.357485,76.005099
141109,40.044239,76.251944
141110,31.177035,75.534221
141112,31.216609,75.629537
141113,30.862155,76.089951
141114,54.998474,76.246785
141115,31.15889,75.565515
141116,31.139843,75.558238
141117,41.383682,75.6697668
141118,30.76215,75.833059
141119,30.670564,75.98551
141120,31.311716,75.210711
141121,46.188722,6.044457
141122,30.99833,75.652084
141123,30.897719,75.971724
141125,33.544072,73.196911
141126,30.89528,76.084151
141127,30.960536,76.057322
141201,30.7623611,75.8213055
141202,30.770893,75.747324
141203,30.900973,75.8572678
141204,30.7169166,75.8152222
141205,49.001574,24.032911
141206,31.147732,75.529126
141401,30.7029167,76.2244167
141411,30.78,76.27
141412,49.924157,14.480624
141413,31.652761,74.991742
141414,48.640556,76.138773
141415,30.634941,76.033389
141416,30.753299,76.07255
141417,45.048695,76.219668
141418,31.61009,75.520829
141419,30.732413,75.93326
141421,30.8414722,75.6719722
141422,30.813234,75.648448
141801,30.94,76.07
142001,30.815948,75.166847
142002,30.86255,75.1945
142003,30.9893805,74.8585625
142011,30.817177,75.1784542
142021,30.8621722,75.7468611
142022,30.853737,75.758952
142023,55.533323,75.537861
142024,37.385551,121.97299
142025,31.394128,75.074256
142026,30.8086944,75.4760278
142027,30.928116,75.739329
142029,30.80594,75.758952
142030,35.477606,97.522279
142031,30.640218,75.449039
142032,30.687615,75.532037
142033,48.114309,22.37081
142034,52.030533,10.024546
142035,32.73453,73.908793
142036,30.96905,75.05768
142037,30.8164673,75.1717023
142038,30.761036,74.9880815
142039,30.8608995,75.1908913
142040,31.014,74.93385
142041,30.92545,75.32885
142042,30.9744817,75.223835
142043,31.05585,75.13277
142044,31.104733,74.987923
142045,30.83555,75.04759
142046,30.6024453,75.2055956
142047,30.968537,74.991057
142048,30.84746,74.7184
142049,30.81337,75.175565
142050,30.968536,74.991058
142052,30.92545,75.30656
142053,30.8306915,75.0885144
142054,30.85355,75.32305
142055,30.594558,75.279841
142056,30.81337,75.175565
142057,30.598998,75.150027
142058,30.933701,75.348499
142060,30.927546,74.610497
143001,31.66,74.87
143002,31.63,74.84
143004,31.638561,74.882557
143005,31.63,74.83
143006,31.63,74.88
143008,31.71,75.04
143009,31.63,74.88
143022,31.63,74.87
143101,31.77,74.86
143102,31.91,74.81
143103,31.9,74.88
143105,31.67,74.8
143107,31.6758,74.87
143108,32,75.23
143109,32.00115,75.23
